~release_id~release_name~date
11~11~Employment Cost Index~2005-07-29
53~53~Gross Domestic Product~2005-07-29
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2005-07-29
63~63~M2 Related Series~2005-07-29
61~61~Money Zero Maturity (MZM)~2005-07-29
105~105~St. Louis Weekly Reserves and Monetary Base~2005-07-29
91~91~Surveys of Consumers~2005-07-29
