~release_id~release_name~date
14~14~G.19 Consumer Credit~2012-09-10
18~18~H.15 Selected Interest Rates~2012-09-10
183~183~Weekly Retail Gasoline and Diesel Prices~2012-09-10
71~71~Weekly Treasury Inflation-Indexed Securities~2012-09-10
