~release_id~release_name~date
9~9~Advance Monthly Sales for Retail and Food Services~2012-03-13
138~138~BEA Regions Employment and Unemployment~2012-03-13
192~192~Job Openings and Labor Turnover~2012-03-13
25~25~Manufacturing and Trade Inventories and Sales~2012-03-13
112~112~Regional and State Employment and Unemployment~2012-03-13
250~250~Regional and State Employment and Unemployment (Seasonally Adjusted)~2012-03-13
92~92~Selected Real Retail Sales Series~2012-03-13
