~release_id~release_name~date
441~441~Coinbase Cryptocurrencies~2021-09-06
279~279~Economic Policy Uncertainty~2021-09-06
101~101~FOMC Press Release~2021-09-06
209~209~ICE BofA Indices~2021-09-06
239~239~International Financial Statistics~2021-09-06
484~484~Key ECB Interest Rates~2021-09-06
287~287~Nikkei Indexes~2021-09-06
242~242~Recession Indicators Series~2021-09-06
492~492~SONIA Interest Rate Benchmark~2021-09-06
469~469~State Unemployment Insurance Weekly Claims Report~2021-09-06
