~release_id~release_name~date
19~19~H.3 Aggregate Reserves of Depository Institutions and the Monetary Base~2005-06-09
20~20~H.4.1 Factors Affecting Reserve Balances~2005-06-09
21~21~H.6 Money Stock Measures~2005-06-09
100~100~Seasonal Credit Rate~2005-06-09
79~79~St. Louis Bi-Weekly Reserves and Monetary Base~2005-06-09
78~78~St. Louis Monthly Reserves and Monetary Base~2005-06-09
52~52~Z.1 Flow of Funds Accounts of the United States~2005-06-09
