~release_id~release_name~date
441~441~Coinbase Cryptocurrencies~2020-09-07
279~279~Economic Policy Uncertainty~2020-09-07
209~209~ICE BofA Indices~2020-09-07
239~239~International Financial Statistics~2020-09-07
269~269~National Accounts of Japan~2020-09-07
287~287~Nikkei Indexes~2020-09-07
242~242~Recession Indicators Series~2020-09-07
469~469~State Unemployment Insurance Weekly Claims Report~2020-09-07
