~release_id~release_name~date
50~50~Employment Situation~2007-11-02
122~122~H.4.1 Factors Affecting Reserve Balances (data not included in press release)~2007-11-02
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2007-11-02
63~63~M2 Related Series~2007-11-02
95~95~Manufacturer's Shipments, Inventories, and Orders (M3) Survey~2007-11-02
61~61~Money Zero Maturity (MZM)~2007-11-02
78~78~St. Louis Monthly Reserves and Monetary Base~2007-11-02
105~105~St. Louis Weekly Reserves and Monetary Base~2007-11-02
