~release_id~release_name~date
18~18~H.15 Selected Interest Rates~2005-11-28
63~63~M2 Related Series~2005-11-28
61~61~Money Zero Maturity (MZM)~2005-11-28
27~27~New Residential Construction~2005-11-28
105~105~St. Louis Weekly Reserves and Monetary Base~2005-11-28
71~71~Weekly Treasury Inflation-Indexed Securities~2005-11-28
