~release_id~release_name~date
270~270~Bankstats (Monetary & Financial Statistics)~2013-03-04
183~183~Gasoline and Diesel Fuel Update~2013-03-04
18~18~H.15 Selected Interest Rates~2013-03-04
93~93~Supplemental Estimates, Motor Vehicles~2013-03-04
71~71~Weekly Treasury Inflation-Indexed Securities~2013-03-04
