~release_id~release_name~date
10~10~Consumer Price Index~2012-10-16
13~13~G.17 Industrial Production and Capacity Utilization~2012-10-16
251~251~Harmonized Indices of Consumer Prices (HICP)~2012-10-16
92~92~Selected Real Retail Sales Series~2012-10-16
