~release_id~release_name~date
262~262~Failures and Assistance Transactions~2012-10-09
18~18~H.15 Selected Interest Rates~2012-10-09
198~198~Kansas City Financial Stress Index~2012-10-09
183~183~Weekly Retail Gasoline and Diesel Prices~2012-10-09
71~71~Weekly Treasury Inflation-Indexed Securities~2012-10-09
240~240~World Economic Outlook~2012-10-09
