~release_id~release_name~date
9~9~Advance Monthly Sales for Retail and Food Services~2012-10-15
18~18~H.15 Selected Interest Rates~2012-10-15
25~25~Manufacturing and Trade Inventories and Sales~2012-10-15
92~92~Selected Real Retail Sales Series~2012-10-15
183~183~Weekly Retail Gasoline and Diesel Prices~2012-10-15
71~71~Weekly Treasury Inflation-Indexed Securities~2012-10-15
