~release_id~release_name~date
18~18~H.15 Selected Interest Rates~2008-08-04
95~95~Manufacturer's Shipments, Inventories, and Orders (M3) Survey~2008-08-04
54~54~Personal Income and Outlays~2008-08-04
93~93~Supplemental Estimates, Motor Vehicles~2008-08-04
71~71~Weekly Treasury Inflation-Indexed Securities~2008-08-04
