~release_id~release_name~date
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2003-05-30
63~63~M2 Related Series~2003-05-30
61~61~Money Zero Maturity (MZM)~2003-05-30
54~54~Personal Income and Outlays~2003-05-30
91~91~Surveys of Consumers~2003-05-30
