~release_id~release_name~date
19~19~H.3 Aggregate Reserves of Depository Institutions and the Monetary Base~2007-06-21
20~20~H.4.1 Factors Affecting Reserve Balances~2007-06-21
21~21~H.6 Money Stock Measures~2007-06-21
100~100~Seasonal Credit Rate~2007-06-21
110~110~State Personal Income (Quarterly)~2007-06-21
79~79~St. Louis Bi-Weekly Reserves and Monetary Base~2007-06-21
