~release_id~release_name~date
219~219~Chicago Fed National Activity Index~2013-11-12
15~15~G.5 Foreign Exchange Rates~2013-11-12
183~183~Gasoline and Diesel Fuel Update~2013-11-12
18~18~H.15 Selected Interest Rates~2013-11-12
71~71~Weekly Treasury Inflation-Indexed Securities~2013-11-12
