~release_id~release_name~date
270~270~Bankstats (Monetary & Financial Statistics)~2013-11-04
279~279~Economic Policy Uncertainty~2013-11-04
15~15~G.5 Foreign Exchange Rates~2013-11-04
183~183~Gasoline and Diesel Fuel Update~2013-11-04
18~18~H.15 Selected Interest Rates~2013-11-04
95~95~Manufacturer's Shipments, Inventories, and Orders (M3) Survey~2013-11-04
71~71~Weekly Treasury Inflation-Indexed Securities~2013-11-04
