~release_id~release_name~date
219~219~Chicago Fed National Activity Index~2013-02-25
183~183~Gasoline and Diesel Fuel Update~2013-02-25
18~18~H.15 Selected Interest Rates~2013-02-25
71~71~Weekly Treasury Inflation-Indexed Securities~2013-02-25
