~release_id~release_name~date
10~10~Consumer Price Index~2011-05-13
122~122~H.4.1 Factors Affecting Reserve Balances (data not included in press release)~2011-05-13
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2011-05-13
63~63~M2 Related Series~2011-05-13
95~95~Manufacturer's Shipments, Inventories, and Orders (M3) Survey~2011-05-13
193~193~Money Velocity~2011-05-13
61~61~Money Zero Maturity (MZM)~2011-05-13
92~92~Selected Real Retail Sales Series~2011-05-13
78~78~St. Louis Monthly Reserves and Monetary Base~2011-05-13
105~105~St. Louis Weekly Reserves and Monetary Base~2011-05-13
