~release_id~release_name~date
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2005-09-09
61~61~Money Zero Maturity (MZM)~2005-09-09
78~78~St. Louis Monthly Reserves and Monetary Base~2005-09-09
105~105~St. Louis Weekly Reserves and Monetary Base~2005-09-09
80~80~Treasury Bulletin~2005-09-09
