~release_id~release_name~date
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2002-12-13
25~25~Manufacturing and Trade Inventories and Sales~2002-12-13
62~62~Monetary Services Index (MSI)~2002-12-13
61~61~Money Zero Maturity (MZM)~2002-12-13
46~46~Producer Price Index~2002-12-13
78~78~St. Louis Monthly Reserves and Monetary Base~2002-12-13
