~release_id~release_name~date
441~441~Coinbase Cryptocurrencies~2022-12-26
279~279~Economic Policy Uncertainty~2022-12-26
101~101~FOMC Press Release~2022-12-26
287~287~Nikkei Indexes~2022-12-26
242~242~Recession Indicators Series~2022-12-26
469~469~State Unemployment Insurance Weekly Claims Report~2022-12-26
