~release_id~release_name~date
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2003-07-25
63~63~M2 Related Series~2003-07-25
95~95~Manufacturer's Shipments, Inventories, and Orders (M3) Survey~2003-07-25
61~61~Money Zero Maturity (MZM)~2003-07-25
59~59~National Population Estimates~2003-07-25
97~97~New Residential Sales~2003-07-25
