~release_id~release_name~date
10~10~Consumer Price Index~2003-07-16
13~13~G.17 Industrial Production and Capacity Utilization~2003-07-16
25~25~Manufacturing and Trade Inventories and Sales~2003-07-16
92~92~Selected Real Retail Sales Series~2003-07-16
