~release_id~release_name~date
18~18~H.15 Selected Interest Rates~2003-07-07
63~63~M2 Related Series~2003-07-07
61~61~Money Zero Maturity (MZM)~2003-07-07
78~78~St. Louis Monthly Reserves and Monetary Base~2003-07-07
71~71~Weekly Treasury Inflation-Indexed Securities~2003-07-07
