~release_id~release_name~date
50~50~Employment Situation~2002-06-07
14~14~G.19 Consumer Credit~2002-06-07
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2002-06-07
61~61~Money Zero Maturity (MZM)~2002-06-07
78~78~St. Louis Monthly Reserves and Monetary Base~2002-06-07
