~release_id~release_name~date
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2002-06-28
61~61~Money Zero Maturity (MZM)~2002-06-28
54~54~Personal Income and Outlays~2002-06-28
91~91~Surveys of Consumers~2002-06-28
