~release_id~release_name~date
200~200~CBOE Market Statistics~2019-02-13
221~221~Chicago Fed National Financial Conditions Index~2019-02-13
441~441~Coinbase Cryptocurrencies~2019-02-13
440~440~Coinbase Index~2019-02-13
86~86~Commercial Paper~2019-02-13
10~10~Consumer Price Index~2019-02-13
315~315~Current Median CPI~2019-02-13
72~72~Daily Treasury Inflation-Indexed Securities~2019-02-13
279~279~Economic Policy Uncertainty~2019-02-13
345~345~Experimental Consumer Price Index~2019-02-13
378~378~Federal Funds Data~2019-02-13
101~101~FOMC Press Release~2019-02-13
18~18~H.15 Selected Interest Rates~2019-02-13
209~209~ICE BofAML Indices~2019-02-13
185~185~Interest on Required Balances and Excess Balances~2019-02-13
304~304~Interest Rate Spreads~2019-02-13
341~341~Kansas City Fed Labor Market Conditions Indicators~2019-02-13
205~205~Main Economic Indicators~2019-02-13
363~363~Monthly Treasury Statement~2019-02-13
427~427~Moody's Daily Corporate Bond Yield Averages~2019-02-13
328~328~NASDAQ~2019-02-13
342~342~Natural Gas Spot and Futures Prices (NYMEX)~2019-02-13
287~287~Nikkei Indexes~2019-02-13
375~375~Overnight Bank Funding Rate Data~2019-02-13
301~301~Real Money Stock Measures~2019-02-13
382~382~Real Trade-Weighted Value of the Dollar by U.S. State~2019-02-13
242~242~Recession Indicators Series~2019-02-13
394~394~Spliced Oil Price~2019-02-13
212~212~Spot Prices~2019-02-13
313~313~Sticky Price CPI~2019-02-13
379~379~Temporary Open Market Operations~2019-02-13
196~196~Wilshire Indexes~2019-02-13
