~release_id~release_name~date
280~280~Cass Freight Index Report~2019-02-18
441~441~Coinbase Cryptocurrencies~2019-02-18
440~440~Coinbase Index~2019-02-18
279~279~Economic Policy Uncertainty~2019-02-18
209~209~ICE BofAML Indices~2019-02-18
239~239~International Financial Statistics~2019-02-18
287~287~Nikkei Indexes~2019-02-18
317~317~Weekly National Rates and Rate Caps~2019-02-18
