~release_id~release_name~date
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2005-12-23
63~63~M2 Related Series~2005-12-23
95~95~Manufacturer's Shipments, Inventories, and Orders (M3) Survey~2005-12-23
61~61~Money Zero Maturity (MZM)~2005-12-23
27~27~New Residential Construction~2005-12-23
97~97~New Residential Sales~2005-12-23
105~105~St. Louis Weekly Reserves and Monetary Base~2005-12-23
91~91~Surveys of Consumers~2005-12-23
