~release_id~release_name~date
174~174~"Current Economic and Financial Conditions: Summary and Outlook (""Greenbook"")"~2005-12-07
14~14~G.19 Consumer Credit~2005-12-07
116~116~Unemployment in States and Local Areas (all other areas)~2005-12-07
