~release_id~release_name~date
174~174~"Current Economic and Financial Conditions: Summary and Outlook (""Greenbook"")"~2001-09-27
19~19~H.3 Aggregate Reserves of Depository Institutions and the Monetary Base~2001-09-27
20~20~H.4.1 Factors Affecting Reserve Balances~2001-09-27
21~21~H.6 Money Stock and Debt Measures~2001-09-27
95~95~Manufacturer's Shipments, Inventories, and Orders (M3) Survey~2001-09-27
97~97~New Residential Sales~2001-09-27
79~79~St. Louis Bi-Weekly Reserves and Monetary Base~2001-09-27
