~release_id~release_name~date
219~219~Chicago Fed National Activity Index~2014-03-24
302~302~Cleveland Financial Stress Index~2014-03-24
86~86~Commercial Paper~2014-03-24
15~15~G.5 Foreign Exchange Rates~2014-03-24
183~183~Gasoline and Diesel Fuel Update~2014-03-24
17~17~H.10 Foreign Exchange Rates~2014-03-24
18~18~H.15 Selected Interest Rates~2014-03-24
304~304~Interest Rate Spreads~2014-03-24
208~208~State Leading Indexes~2014-03-24
317~317~Weekly National Rates and Rate Caps~2014-03-24
71~71~Weekly Treasury Inflation-Indexed Securities~2014-03-24
