~release_id~release_name~date
229~229~Construction Spending~2011-11-01
238~238~Financial Soundness Indicators~2011-11-01
15~15~G.5 Foreign Exchange Rates~2011-11-01
70~70~Monthly Treasury Inflation-Indexed Securities~2011-11-01
208~208~State Leading Indexes~2011-11-01
102~102~Wall Street Journal~2011-11-01
