~release_id~release_name~date
14~14~G.19 Consumer Credit~2002-07-08
18~18~H.15 Selected Interest Rates~2002-07-08
61~61~Money Zero Maturity (MZM)~2002-07-08
78~78~St. Louis Monthly Reserves and Monetary Base~2002-07-08
