~release_id~release_name~date
86~86~Commercial Paper~2010-03-18
10~10~Consumer Price Index~2010-03-18
19~19~H.3 Aggregate Reserves of Depository Institutions and the Monetary Base~2010-03-18
20~20~H.4.1 Factors Affecting Reserve Balances~2010-03-18
21~21~H.6 Money Stock Measures~2010-03-18
92~92~Selected Real Retail Sales Series~2010-03-18
79~79~St. Louis Bi-Weekly Reserves and Monetary Base~2010-03-18
187~187~St. Louis Financial Stress Index~2010-03-18
80~80~Treasury Bulletin~2010-03-18
180~180~Unemployment Insurance Weekly Claims Report~2010-03-18
49~49~U.S. International Transactions~2010-03-18
