~release_id~release_name~date
15~15~G.5 Foreign Exchange Rates~2003-12-01
18~18~H.15 Selected Interest Rates~2003-12-01
63~63~M2 Related Series~2003-12-01
61~61~Money Zero Maturity (MZM)~2003-12-01
70~70~Monthly Treasury Inflation-Indexed Securities~2003-12-01
102~102~Wall Street Journal~2003-12-01
71~71~Weekly Treasury Inflation-Indexed Securities~2003-12-01
