~release_id~release_name~date
122~122~H.4.1 Factors Affecting Reserve Balances (data not included in press release)~2011-09-30
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2011-09-30
63~63~M2 Related Series~2011-09-30
139~139~Metropolitan Area Per Capita Personal Income~2011-09-30
61~61~Money Zero Maturity (MZM)~2011-09-30
54~54~Personal Income and Outlays~2011-09-30
78~78~St. Louis Monthly Reserves and Monetary Base~2011-09-30
105~105~St. Louis Weekly Reserves and Monetary Base~2011-09-30
93~93~Supplemental Estimates, Motor Vehicles~2011-09-30
91~91~Surveys of Consumers~2011-09-30
