~release_id~release_name~date
333~333~Chicago Fed Midwest Economy Index~2018-03-30
86~86~Commercial Paper~2018-03-30
72~72~Daily Treasury Inflation-Indexed Securities~2018-03-30
279~279~Economic Policy Uncertainty~2018-03-30
378~378~Federal Funds Data~2018-03-30
101~101~FOMC Press Release~2018-03-30
316~316~G.20 Finance Companies~2018-03-30
18~18~H.15 Selected Interest Rates~2018-03-30
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2018-03-30
185~185~Interest on Required Balances and Excess Balances~2018-03-30
304~304~Interest Rate Spreads~2018-03-30
106~106~M2 Own Rate~2018-03-30
205~205~Main Economic Indicators~2018-03-30
355~355~Minimum Wage Rates~2018-03-30
61~61~Money Zero Maturity (MZM)~2018-03-30
375~375~Overnight Bank Funding Rate Data~2018-03-30
301~301~Real Money Stock Measures~2018-03-30
242~242~Recession Indicators Series~2018-03-30
400~400~St. Louis Fed Economic News Index~2018-03-30
78~78~St. Louis Monthly Reserves and Monetary Base~2018-03-30
359~359~U.S. International Investment Position~2018-03-30
