~release_id~release_name~date
18~18~H.15 Selected Interest Rates~2010-10-04
95~95~Manufacturer's Shipments, Inventories, and Orders (M3) Survey~2010-10-04
93~93~Supplemental Estimates, Motor Vehicles~2010-10-04
183~183~Weekly Retail Gasoline and Diesel Prices~2010-10-04
71~71~Weekly Treasury Inflation-Indexed Securities~2010-10-04
