~release_id~release_name~date
18~18~H.15 Selected Interest Rates~2005-01-31
97~97~New Residential Sales~2005-01-31
54~54~Personal Income and Outlays~2005-01-31
71~71~Weekly Treasury Inflation-Indexed Securities~2005-01-31
