~release_id~release_name~date
19~19~H.3 Aggregate Reserves of Depository Institutions and the Monetary Base~2005-01-27
20~20~H.4.1 Factors Affecting Reserve Balances~2005-01-27
21~21~H.6 Money Stock Measures~2005-01-27
95~95~Manufacturer's Shipments, Inventories, and Orders (M3) Survey~2005-01-27
79~79~St. Louis Bi-Weekly Reserves and Monetary Base~2005-01-27
78~78~St. Louis Monthly Reserves and Monetary Base~2005-01-27
