~release_id~release_name~date
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2003-10-24
63~63~M2 Related Series~2003-10-24
61~61~Money Zero Maturity (MZM)~2003-10-24
78~78~St. Louis Monthly Reserves and Monetary Base~2003-10-24
