~release_id~release_name~date
18~18~H.15 Selected Interest Rates~2005-02-28
59~59~National Population Estimates~2005-02-28
97~97~New Residential Sales~2005-02-28
54~54~Personal Income and Outlays~2005-02-28
71~71~Weekly Treasury Inflation-Indexed Securities~2005-02-28
