~release_id~release_name~date
50~50~Employment Situation~2005-02-04
104~104~Federal Reserve Bulletin~2005-02-04
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2005-02-04
63~63~M2 Related Series~2005-02-04
61~61~Money Zero Maturity (MZM)~2005-02-04
78~78~St. Louis Monthly Reserves and Monetary Base~2005-02-04
105~105~St. Louis Weekly Reserves and Monetary Base~2005-02-04
91~91~Surveys of Consumers~2005-02-04
