~release_id~release_name~date
441~441~Coinbase Cryptocurrencies~2022-06-20
279~279~Economic Policy Uncertainty~2022-06-20
101~101~FOMC Press Release~2022-06-20
209~209~ICE BofA Indices~2022-06-20
239~239~International Financial Statistics~2022-06-20
484~484~Key ECB Interest Rates~2022-06-20
287~287~Nikkei Indexes~2022-06-20
242~242~Recession Indicators Series~2022-06-20
492~492~SONIA Interest Rate Benchmark~2022-06-20
