,tweet_id,tweet_url,username,is_retweet,is_pinned,time,ts,text,replies,retweets,likes
0,768196981449715712,/DougKass/status/768196981449715712#m,DougKass,0.0,0.0,2016-08-23 09:23:00+00:00,1471944180000.0,You and I have different timeframes joe!,0.0,0.0,2.0
1,768193268026904576,/DougKass/status/768193268026904576#m,DougKass,0.0,0.0,2016-08-23 09:08:00+00:00,1471943280000.0,From Real Money Pro: Short $AAPL (Trade of the week) thestreet.com/story/13683159…,1.0,2.0,6.0
2,768191703215988736,/DougKass/status/768191703215988736#m,DougKass,0.0,0.0,2016-08-23 09:02:00+00:00,1471942920000.0,Sue Herera John McEnroe and Will Ferrell piped.video/watch?v=dT2DxkEH…,0.0,0.0,8.0
3,768184523704139776,/DougKass/status/768184523704139776#m,DougKass,0.0,0.0,2016-08-23 08:33:00+00:00,1471941180000.0,Why can't there be more Sue Herera's in the business media? cnbc.com/sue-herera/,8.0,4.0,20.0
4,768169363408945152,/DougKass/status/768169363408945152#m,DougKass,0.0,0.0,2016-08-23 07:33:00+00:00,1471937580000.0,Ludicris Speed - $TSLA Model S P100D takes 2.5 seconds to go from 0-60. TSLA investors overreact in ludircuous 1.1 seconds,4.0,7.0,30.0
5,768167182190731264,/DougKass/status/768167182190731264#m,DougKass,0.0,0.0,2016-08-23 07:25:00+00:00,1471937100000.0,"There is never a bear market without compelling, highly intelligent and logical bullish arguments.",0.0,1.0,13.0
6,768151279961014272,/DougKass/status/768151279961014272#m,DougKass,0.0,0.0,2016-08-23 06:21:00+00:00,1471933260000.0,"Coming up in RealMoneyPro: ""Sell in September or Get Dismembered?""",5.0,4.0,12.0
7,768117180101689344,/DougKass/status/768117180101689344#m,DougKass,0.0,0.0,2016-08-23 04:06:00+00:00,1471925160000.0,Memo to CNBC - $TSLA is a hard to borrow.,1.0,1.0,4.0
8,768113507351072769,/DougKass/status/768113507351072769#m,DougKass,0.0,0.0,2016-08-23 03:51:00+00:00,1471924260000.0,@andrewrsorkin Trump campaign funds lining hiw own pockets? vanityfair.com/news/2016/08/…,2.0,1.0,1.0
9,768103883482750977,/DougKass/status/768103883482750977#m,DougKass,0.0,0.0,2016-08-23 03:13:00+00:00,1471921980000.0,Ludacris forecast? Why not - I havent had one in a while. What's your fantasy? piped.video/watch?v=mq-Ru6kQ…,3.0,0.0,1.0
10,768102993866653696,/DougKass/status/768102993866653696#m,DougKass,0.0,0.0,2016-08-23 03:09:00+00:00,1471921740000.0,"Thanks Adam. I am a broken clock, though!",1.0,0.0,2.0
11,768086492220649472,/DougKass/status/768086492220649472#m,DougKass,0.0,0.0,2016-08-23 02:04:00+00:00,1471917840000.0,Peak Hedge Funds Bloombergreports that Och Ziff is reducing hedge fund fees. It starts slowly and then accelerates.,0.0,2.0,5.0
12,768073738277494785,/DougKass/status/768073738277494785#m,DougKass,0.0,0.0,2016-08-23 01:13:00+00:00,1471914780000.0,@andrewrsorkin Kernen's acidity burns a whole in TV screens.,2.0,0.0,2.0
13,768073248869343235,/DougKass/status/768073248869343235#m,DougKass,0.0,0.0,2016-08-23 01:11:00+00:00,1471914660000.0,@andrewrsorkin Ann Coulter realmoneypro.thestreet.com/d…,0.0,0.0,0.0
14,768040577854308352,/DougKass/status/768040577854308352#m,DougKass,0.0,0.0,2016-08-23 11:01:00+00:00,1471950060000.0,"Jim Carville on Morning Joe, Ann Coulter on Sqauwk Box at this time .",2.0,0.0,1.0
15,768040082330845184,/DougKass/status/768040082330845184#m,DougKass,0.0,0.0,2016-08-23 10:59:00+00:00,1471949940000.0,"@andrewrsorkin My Palm Beach neighbor, Ann Coulter, coming up on CNBC's Squawk Box at 730AM.",0.0,0.0,0.0
16,768038482895831040,/DougKass/status/768038482895831040#m,DougKass,0.0,0.0,2016-08-23 10:53:00+00:00,1471949580000.0,Those days are long gone B. Enjoy the day.,2.0,0.0,12.0
17,768038338808909824,/DougKass/status/768038338808909824#m,DougKass,0.0,0.0,2016-08-23 10:53:00+00:00,1471949580000.0,"@andrewrsorkin Kernen soils an otherwise great CNBC ""Squwak Box"" with repetitive political dogma rather than substantive market dialogue.",6.0,3.0,15.0
18,768023955034759168,/DougKass/status/768023955034759168#m,DougKass,0.0,0.0,2016-08-23 09:55:00+00:00,1471946100000.0,Churlish Kernen on CNBC. New lows.,4.0,1.0,9.0
