,tweet_id,tweet_url,username,is_retweet,is_pinned,time,ts,text,replies,retweets,likes
0,1009548635565101056,/DougKass/status/1009548635565101056#m,DougKass,0.0,0.0,2018-06-20 09:28:00+00:00,1529486880000.0,@ericjackson @cnbcfastmoney Is Rupert Murdoch going to end being this cycle's Sam Zell - the guy who sold his lifelong asset in a bidding war right at the top? @jimcramer @RiskReversal $FOX $DIS,0.0,1.0,2.0
1,1009547993081470976,/DougKass/status/1009547993081470976#m,DougKass,0.0,0.0,2018-06-20 09:26:00+00:00,1529486760000.0,tic toc,8.0,0.0,20.0
2,1009543209662459909,/DougKass/status/1009543209662459909#m,DougKass,0.0,0.0,2018-06-20 09:07:00+00:00,1529485620000.0,"@riskreversal Dan, look at my email regarding Fang. Ratio of growth/value back to late 1999 levels. Caution, obi wan.",0.0,1.0,2.0
3,1009542595259850752,/DougKass/status/1009542595259850752#m,DougKass,0.0,0.0,2018-06-20 09:04:00+00:00,1529485440000.0,"None, Eric. All consensus. Comcast raises, Disney then raises - and then all over. I call this ""Group Stink.""",1.0,0.0,3.0
4,1009542323217354752,/DougKass/status/1009542323217354752#m,DougKass,0.0,0.0,2018-06-20 09:03:00+00:00,1529485380000.0,"""I have been wrong"" from @GuyAdami - one of the only honest traders left in biz media.",5.0,1.0,44.0
5,1009541818650910720,/DougKass/status/1009541818650910720#m,DougKass,0.0,0.0,2018-06-20 09:01:00+00:00,1529485260000.0,"More crypto crap in the biz media - didnt they get the memo? I guess better than talking about ""unusual"" activity.",2.0,0.0,7.0
6,1009518093629091840,/DougKass/status/1009518093629091840#m,DougKass,0.0,0.0,2018-06-20 07:27:00+00:00,1529479620000.0,"Ollie and Sebastian lived good lives. 15 and 16 years, respectively. But I still miss them. So do Ollie and Bella!",2.0,0.0,18.0
7,1009502729516003329,/DougKass/status/1009502729516003329#m,DougKass,0.0,0.0,2018-06-20 06:26:00+00:00,1529475960000.0,PS I have two dachshunds. Had four but the older once passed.,4.0,0.0,2.0
8,1009502587589185543,/DougKass/status/1009502587589185543#m,DougKass,0.0,0.0,2018-06-20 06:25:00+00:00,1529475900000.0,"Had a good trip. First two furlongs were slow, I sat the pocket. Then pocket rocket in the stretch.",0.0,0.0,2.0
9,1009500962321559553,/DougKass/status/1009500962321559553#m,DougKass,0.0,0.0,2018-06-20 06:19:00+00:00,1529475540000.0,@TSTRealMoneyPro Pared back a large sized $BOX long to medium sized at $29.60. Placed in April on my Best Ideas List at $22.50. Growing more negative on markets. @jimcramer,0.0,1.0,1.0
10,1009477913807187969,/DougKass/status/1009477913807187969#m,DougKass,0.0,0.0,2018-06-20 04:47:00+00:00,1529470020000.0,Why I shorted more $SBUX today (I have been short for over two years) on @TSTRealMoneyPro realmoneypro.thestreet.com/d… @jimcramer @tomkeene @carlquintanilla,0.0,1.0,7.0
11,1009475874658414593,/DougKass/status/1009475874658414593#m,DougKass,0.0,0.0,2018-06-20 04:39:00+00:00,1529469540000.0,$SBUX -$5 Booyah.,1.0,0.0,5.0
12,1009456577076760576,/DougKass/status/1009456577076760576#m,DougKass,0.0,0.0,2018-06-20 03:22:00+00:00,1529464920000.0,"$BOX is HOT. Placed on my @TSTRealMoneyPro Best Idea List at $22.50 in April, 2018. Now over $29.60. How is that for self promotion?",3.0,0.0,17.0
13,1009452095748091904,/DougKass/status/1009452095748091904#m,DougKass,0.0,0.0,2018-06-20 03:05:00+00:00,1529463900000.0,"It is not the individual that I am critical of, its the call strategy. As Buffett says, ""Praise by name, criticize by category.""",1.0,0.0,7.0
14,1009450892486152194,/DougKass/status/1009450892486152194#m,DougKass,0.0,0.0,2018-06-20 03:00:00+00:00,1529463600000.0,@cnbcfastmoney I am sick and tired of the lack of accountability and the silly adoption of buying calls (on a steady diet) because of unusual activity. Here is the latest nonsense on $SBUX call volume just two days ago! cnbc.com/video/2018/06/18/a-…,4.0,1.0,6.0
15,1009440443342426112,/DougKass/status/1009440443342426112#m,DougKass,0.0,0.0,2018-06-20 02:18:00+00:00,1529461080000.0,I am long banks but CCAR is probably not a catalyst - that's first level thinking as it is known and is likely discounted already. @jimcramer $C $JPM @davidfaber There are other reasons to own banks longer term.,1.0,0.0,10.0
