~release_id~release_name~date
194~194~ADP National Employment Report~2021-03-31
200~200~CBOE Market Statistics~2021-03-31
333~333~Chicago Fed Midwest Economy Index~2021-03-31
221~221~Chicago Fed National Financial Conditions Index~2021-03-31
441~441~Coinbase Cryptocurrencies~2021-03-31
86~86~Commercial Paper~2021-03-31
72~72~Daily Treasury Inflation-Indexed Securities~2021-03-31
279~279~Economic Policy Uncertainty~2021-03-31
378~378~Federal Funds Data~2021-03-31
101~101~FOMC Press Release~2021-03-31
18~18~H.15 Selected Interest Rates~2021-03-31
209~209~ICE BofA Indices~2021-03-31
185~185~Interest on Required Balances and Excess Balances~2021-03-31
304~304~Interest Rate Spreads~2021-03-31
484~484~Key ECB Interest Rates~2021-03-31
355~355~Minimum Wage Rates~2021-03-31
477~477~Monthly State Retail Sales~2021-03-31
427~427~Moody's Daily Corporate Bond Yield Averages~2021-03-31
328~328~NASDAQ~2021-03-31
342~342~Natural Gas Spot and Futures Prices (NYMEX)~2021-03-31
287~287~Nikkei Indexes~2021-03-31
473~473~Optimal Blue Mortgage Market Indices~2021-03-31
375~375~Overnight Bank Funding Rate Data~2021-03-31
242~242~Recession Indicators Series~2021-03-31
445~445~Secured Overnight Financing Rate Data~2021-03-31
483~483~SOFR Averages and Index Data~2021-03-31
212~212~Spot Prices~2021-03-31
379~379~Temporary Open Market Operations~2021-03-31
268~268~United Kingdom Main Aggregates of National Accounts~2021-03-31
359~359~U.S. International Investment Position~2021-03-31
196~196~Wilshire Indexes~2021-03-31
