~release_id~release_name~date
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2007-01-26
63~63~M2 Related Series~2007-01-26
95~95~Manufacturer's Shipments, Inventories, and Orders (M3) Survey~2007-01-26
61~61~Money Zero Maturity (MZM)~2007-01-26
27~27~New Residential Construction~2007-01-26
97~97~New Residential Sales~2007-01-26
78~78~St. Louis Monthly Reserves and Monetary Base~2007-01-26
105~105~St. Louis Weekly Reserves and Monetary Base~2007-01-26
