~release_id~release_name~date
15~15~G.5 Foreign Exchange Rates~2006-02-01
113~113~Metropolitan Area Employment and Unemployment~2006-02-01
70~70~Monthly Treasury Inflation-Indexed Securities~2006-02-01
102~102~Wall Street Journal~2006-02-01
