~release_id~release_name~date
9~9~Advance Monthly Sales for Retail and Food Services~2010-05-14
13~13~G.17 Industrial Production and Capacity Utilization~2010-05-14
122~122~H.4.1 Factors Affecting Reserve Balances (data not included in press release)~2010-05-14
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2010-05-14
63~63~M2 Related Series~2010-05-14
95~95~Manufacturer's Shipments, Inventories, and Orders (M3) Survey~2010-05-14
25~25~Manufacturing and Trade Inventories and Sales~2010-05-14
61~61~Money Zero Maturity (MZM)~2010-05-14
92~92~Selected Real Retail Sales Series~2010-05-14
78~78~St. Louis Monthly Reserves and Monetary Base~2010-05-14
105~105~St. Louis Weekly Reserves and Monetary Base~2010-05-14
