~release_id~release_name~date
104~104~Federal Reserve Bulletin~2004-04-30
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2004-04-30
63~63~M2 Related Series~2004-04-30
61~61~Money Zero Maturity (MZM)~2004-04-30
54~54~Personal Income and Outlays~2004-04-30
91~91~Surveys of Consumers~2004-04-30
