~release_id~release_name~date
18~18~H.15 Selected Interest Rates~2009-02-17
46~46~Producer Price Index~2009-02-17
179~179~Quarterly Retail E-Commerce Sales~2009-02-17
71~71~Weekly Treasury Inflation-Indexed Securities~2009-02-17
