~release_id~release_name~date
173~173~BEA Regions Housing Units Authorized By Building Permits~2012-08-24
122~122~H.4.1 Factors Affecting Reserve Balances (data not included in press release)~2012-08-24
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2012-08-24
148~148~Housing Units Authorized By Building Permits~2012-08-24
246~246~Housing Units Authorized By Building Permits (Seasonally Adjusted)~2012-08-24
63~63~M2 Related Series~2012-08-24
95~95~Manufacturer's Shipments, Inventories, and Orders (M3) Survey~2012-08-24
61~61~Money Zero Maturity (MZM)~2012-08-24
27~27~New Residential Construction~2012-08-24
78~78~St. Louis Monthly Reserves and Monetary Base~2012-08-24
105~105~St. Louis Weekly Reserves and Monetary Base~2012-08-24
