~release_id~release_name~date
441~441~Coinbase Cryptocurrencies~2019-09-02
440~440~Coinbase Index~2019-09-02
279~279~Economic Policy Uncertainty~2019-09-02
209~209~ICE BofAML Indices~2019-09-02
287~287~Nikkei Indexes~2019-09-02
317~317~Weekly National Rates and Rate Caps~2019-09-02
