~release_id~release_name~date
19~19~H.3 Aggregate Reserves of Depository Institutions and the Monetary Base~2001-10-04
20~20~H.4.1 Factors Affecting Reserve Balances~2001-10-04
21~21~H.6 Money Stock and Debt Measures~2001-10-04
95~95~Manufacturer's Shipments, Inventories, and Orders (M3) Survey~2001-10-04
100~100~Seasonal Credit Rate~2001-10-04
79~79~St. Louis Bi-Weekly Reserves and Monetary Base~2001-10-04
