~release_id~release_name~date
209~209~BofA Merrill Lynch~2016-11-11
200~200~CBOE Market Statistics~2016-11-11
279~279~Economic Policy Uncertainty~2016-11-11
328~328~NASDAQ~2016-11-11
287~287~Nikkei Indexes~2016-11-11
196~196~Wilshire Indexes~2016-11-11
