~release_id~release_name~date
219~219~Chicago Fed National Activity Index~2013-09-23
15~15~G.5 Foreign Exchange Rates~2013-09-23
183~183~Gasoline and Diesel Fuel Update~2013-09-23
18~18~H.15 Selected Interest Rates~2013-09-23
71~71~Weekly Treasury Inflation-Indexed Securities~2013-09-23
