~release_id~release_name~date
266~266~Bank of Japan Accounts~2013-04-08
183~183~Gasoline and Diesel Fuel Update~2013-04-08
18~18~H.15 Selected Interest Rates~2013-04-08
198~198~Kansas City Financial Stress Index~2013-04-08
267~267~National Accounts - GDP (Eurostat)~2013-04-08
71~71~Weekly Treasury Inflation-Indexed Securities~2013-04-08
