~release_id~release_name~date
104~104~Federal Reserve Bulletin~2004-05-28
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2004-05-28
61~61~Money Zero Maturity (MZM)~2004-05-28
54~54~Personal Income and Outlays~2004-05-28
91~91~Surveys of Consumers~2004-05-28
