~release_id~release_name~date
18~18~H.15 Selected Interest Rates~2004-05-03
70~70~Monthly Treasury Inflation-Indexed Securities~2004-05-03
102~102~Wall Street Journal~2004-05-03
71~71~Weekly Treasury Inflation-Indexed Securities~2004-05-03
