~release_id~release_name~date
15~15~G.5 Foreign Exchange Rates~2008-04-01
70~70~Monthly Treasury Inflation-Indexed Securities~2008-04-01
109~109~State Coincident Indexes~2008-04-01
102~102~Wall Street Journal~2008-04-01
