~release_id~release_name~date
122~122~H.4.1 Factors Affecting Reserve Balances (data not included in press release)~2012-02-24
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2012-02-24
63~63~M2 Related Series~2012-02-24
61~61~Money Zero Maturity (MZM)~2012-02-24
97~97~New Residential Sales~2012-02-24
78~78~St. Louis Monthly Reserves and Monetary Base~2012-02-24
105~105~St. Louis Weekly Reserves and Monetary Base~2012-02-24
91~91~Surveys of Consumers~2012-02-24
